id,title,year,language,authors,author_gender,trans,notes
mdp.39015042951924,Mizora : a world of women / Mary E. Bradley Lane ; introduction to the Bison Books edition by Joan Saberhagen.,1999,eng,"Lane, Mary E. Bradley",she/her,no,reprint 1890 book that of the first all-female utopia
mdp.39015041888606,The Martians / Kim Stanley Robinson.,1999,eng,"Robinson, Kim Stanley",he/him,no,"short story ""Sexual Dimorphism"" nominated for Otherwise Award"
uva.x004745510,Assassin's quest / Robin Hobb.,1998,eng,"Hobb, Robin",she/her,no,gender-fluid main character
mdp.39015047519965,Children of God : a novel / Mary Doria Russell.,1998,eng,"Russell, Mary Doria 1950-",she/her,no,sequel to The Sparrow
uva.x004745503,Royal assassin / Robin Hobb.,1997,eng,"Hobb, Robin",she/her,no,gender-fluid main character
mdp.39015063193216,Polymorph / Scott Westerfeld.,1997,eng,"Westerfeld, Scott",he/him,no,gender-fluid main character
mdp.39015038555903,The sparrow / Mary Doria Russell.,1996,eng,"Russell, Mary Doria 1950-",she/her,no,species on alien planet can change sex
uva.x004745506,Assassin's apprentice / Robin Hobb.,1995,eng,"Hobb, Robin",she/her,no,gender-fluid main character
mdp.39015040621420,Bloodchild : and other stories / Octavia E. Butler.,1995,eng,"Butler, Octavia E",she/her,no,de-gendering of God
uva.x002677402,The Furies / Suzy McKee Charnas.,1995,eng,"Charnas, Suzy McKee",she/her,no,might pull back out
mdp.39015034242647,Temporary agency / Rachel Pollack.,1994,eng,"Pollack, Rachel",she/her,yes,"""Lesbian witchpunk sci-fi"" (might remove)"
mdp.39015058712145,"Good omens : the nice and accurate prophecies of Agnes Nutter, witch : a novel / Neil Gaiman and Terry Pratchett.",1990,eng,"Gaiman, Neil; Pratchett, Terry",he/him,no,angels and demons are sexless
mdp.39015025249494,"A short, sharp shock / Kim Stanley Robinson ; illustrations by Arnie Fenner.",1990,eng,"Robinson, Kim Stanley",he/him,no,might pull back out
uva.x001785469,Sexing the cherry / Jeanette Winterson.,1990,eng,"Winterson, Jeanette 1959-",she/her,no,"gender roles, femininity in patriarchical society"
mdp.39015017753255,The passion / Jeanette Winterson.,1989,eng,"Winterson, Jeanette 1959-",she/her,no,constructions of gender and sexuality
mdp.39015032281365,"Walk to the end of the world ; and, Motherlines.",1989,eng,"Charnas, Suzy McKee",she/her,no,queer feminist dystopia
uc1.32106008566652,Memoirs of a spacewoman / Naomi Mitchison.,1985,eng,"Mitchison, Naomi 1897-1999",she/her,no,gender-fluid aliens
mdp.39015020750835,The wild shore / Kim Stanley Robinson.,1984,eng,"Robinson, Kim Stanley",he/him,no,might pull back out
mdp.39015054037372,Wild seed / Octavia E. Butler.,1980,eng,"Butler, Octavia E",she/her,no,gender-fluid gods
mdp.39015042558497,Millennial women / edited by Virginia Kidd.,1978,eng,"Le Guin, Ursula K., 1929-; Kidd, Virginia",she/her,no,social constructions of gender
mdp.39015047597136,The female man / Joanna Russ; with a new introd. by Marilyn Hacker.,1977,eng,"Russ, Joanna 1937-2011",she/her,no,"""gender war"" so society without women. i think it might be dated"
mdp.39015000244577,Woman on the edge of time / Marge Piercy.,1976,eng,"Piercy, Marge",she/her,no,"LGBTQIA+ Equality, androgyny"
mdp.49015000682998,The man who folded himself / David Gerrold.,1976,eng,"Gerrold, David 1944-",he/him,no,character has multiple versions of himself across different timelines including one that is a woman
mdp.39015046878727,Patternmaster / Octavia E. Butler.,1976,eng,"Butler, Octavia E",she/her,no,gender-fluid gods
mdp.39015000654106,When Harlie was one; a novel.,1972,eng,"Gerrold, David 1944-",he/him,no,might pull back out
mdp.39015020729649,The gods themselves.,1972,eng,"Asimov, Isaac 1920-1992",he/him,no,"recommended by prof, gender fluid main character"
uc1.32106014299314,The tombs of Atuan [by] Ursula K. Le Guin. Illustrated by Gail Garraty.,1971,eng,"Le Guin, Ursula K. 1929-; Garraty, Gail",she/her,no,might pull back out
mdp.39015019357808,The flying sorcerers / David Gerrold and Larry Niven.,1971,eng,"Gerrold, David; Niven, Larry",he/him,no,might pull back out
mdp.39015004274349,The edible woman [by] Margaret Atwood.,1969,eng,"Atwood, Margaret 1939-",she/her,no,themes of sexual identity loss and alienation
mdp.39015052467530,The left hand of darkness / by Ursula K. LeGuin.,1969,eng,"Le Guin, Ursula K. 1929-",she/her,no,Species on alien planet can change sex throughout their lifetime
mdp.39015016466511,The dark light-years / Brian Aldiss.,1964,eng,"Aldiss, Brian Wilson 1925-",he/him,no,sex-changing main characters
mdp.39015014854346,Venus plus X / Theodore Sturgeon.,1960,eng,"Sturgeon, Theodore",he/him,no,future utopia one neutered gender
miun.ahq2807.0001.001,"Orlando; a biography, by Virginia Woolf.",1928,eng,"Woolf, Virginia 1882-1941",she/her,no,transgender characters
uc1.$b299785,"An Anglo-American alliance; a serio-comic romance and forecast of the future, by Gregory Casparian; illustrated and published by the author.",1906,eng,"Casparian, Gregory",he/him,no,transgender characters. sci-fi first trans hero